201921811,GMCS31,A
201921812,GMCS31,B+
201921813,GMCS31,RA
201921814,GMCS31,O
201921815,GMCS31,A
201921816,GMCS31,A+
201921817,GMCS31,B+
201921818,GMCS31,O+
201921819,GMCS31,RA
201921820,GMCS31,RA
201921821,GMCS31,A
201921822,GMCS31,A+
201921823,GMCS31,O
201921824,GMCS31,O+
201921825,GMCS31,A
201921826,GMCS31,A
201921827,GMCS31,A
201921828,GMCS31,A+
201921829,GMCS31,RA
201921830,GMCS31,A
201921831,GMCS31,B+
201921832,GMCS31,B+
201921833,GMCS31,B
201921834,GMCS31,O
201921835,GMCS31,RA
201921836,GMCS31,O+
201921837,GMCS31,RA
201921838,GMCS31,RA
201921839,GMCS31,RA
201921840,GMCS31,RA
201921841,GMCS31,A
201921842,GMCS31,A+
201921843,GMCS31,B+
201921844,GMCS31,B+
201921845,GMCS31,O
201921846,GMCS31,O+
201921847,GMCS31,O
201921848,GMCS31,O+
201921849,GMCS31,A
201921850,GMCS31,A
201921811,GMCS32,A
201921812,GMCS32,A
201921813,GMCS32,A
201921814,GMCS32,A
201921815,GMCS32,RA
201921816,GMCS32,RA
201921817,GMCS32,O
201921818,GMCS32,O
201921819,GMCS32,O+
201921820,GMCS32,B
201921821,GMCS32,B+
201921822,GMCS32,A
201921823,GMCS32,B+
201921824,GMCS32,RA
201921825,GMCS32,O
201921826,GMCS32,O+
201921827,GMCS32,O
201921828,GMCS32,O
201921829,GMCS32,A
201921830,GMCS32,A+
201921831,GMCS32,B
201921832,GMCS32,B+
201921833,GMCS32,A
201921834,GMCS32,O+
201921835,GMCS32,RA
201921836,GMCS32,RA
201921837,GMCS32,RA
201921838,GMCS32,O
201921839,GMCS32,O
201921840,GMCS32,O
201921841,GMCS32,O
201921842,GMCS32,A
201921843,GMCS32,A+
201921844,GMCS32,A+
201921845,GMCS32,B
201921846,GMCS32,B+
201921847,GMCS32,A
201921848,GMCS32,RA
201921849,GMCS32,RA
201921850,GMCS32,RA
201921811,GMCS33,RA
201921812,GMCS33,O
201921813,GMCS33,O
201921814,GMCS33,O
201921815,GMCS33,O
201921816,GMCS33,O+
201921817,GMCS33,A
201921818,GMCS33,A
201921819,GMCS33,A+
201921820,GMCS33,B
201921821,GMCS33,B+
201921822,GMCS33,RA
201921823,GMCS33,A
201921824,GMCS33,A
201921825,GMCS33,A
201921826,GMCS33,A
201921827,GMCS33,O
201921828,GMCS33,O+
201921829,GMCS33,A
201921830,GMCS33,RA
201921831,GMCS33,A
201921832,GMCS33,A+
201921833,GMCS33,O
201921834,GMCS33,O+
201921835,GMCS33,RA
201921836,GMCS33,RA
201921837,GMCS33,RA
201921838,GMCS33,RA
201921839,GMCS33,A+
201921840,GMCS33,A
201921841,GMCS33,RA
201921842,GMCS33,B
201921843,GMCS33,B+
201921844,GMCS33,RA
201921845,GMCS33,O
201921846,GMCS33,O
201921847,GMCS33,O
201921848,GMCS33,O
201921849,GMCS33,O+
201921850,GMCS33,RA
201921811,GMCS34,O
201921812,GMCS34,A
201921813,GMCS34,A+
201921814,GMCS34,A+
201921815,GMCS34,B
201921816,GMCS34,B+
201921817,GMCS34,A
201921818,GMCS34,RA
201921819,GMCS34,RA
201921820,GMCS34,RA
201921821,GMCS34,RA
201921822,GMCS34,O
201921823,GMCS34,O
201921824,GMCS34,O
201921825,GMCS34,O
201921826,GMCS34,O+
201921827,GMCS34,A
201921828,GMCS34,A
201921829,GMCS34,A+
201921830,GMCS34,B
201921831,GMCS34,B+
201921832,GMCS34,RA
201921833,GMCS34,A
201921834,GMCS34,A
201921835,GMCS34,A
201921836,GMCS34,A
201921837,GMCS34,O
201921838,GMCS34,O+
201921839,GMCS34,A
201921840,GMCS34,RA
201921841,GMCS34,A
201921842,GMCS34,A+
201921843,GMCS34,O
201921844,GMCS34,O+
201921845,GMCS34,RA
201921846,GMCS34,RA
201921847,GMCS34,RA
201921848,GMCS34,RA
201921849,GMCS34,A+
201921850,GMCS34,A
201921811,GMCS35,O+
201921812,GMCS35,A
201921813,GMCS35,A
201921814,GMCS35,A+
201921815,GMCS35,B
201921816,GMCS35,B+
201921817,GMCS35,RA
201921818,GMCS35,A
201921819,GMCS35,A
201921820,GMCS35,A
201921821,GMCS35,A
201921822,GMCS35,O
201921823,GMCS35,O+
201921824,GMCS35,A
201921825,GMCS35,RA
201921826,GMCS35,A
201921827,GMCS35,A+
201921828,GMCS35,O
201921829,GMCS35,O+
201921830,GMCS35,RA
201921831,GMCS35,RA
201921832,GMCS35,RA
201921833,GMCS35,RA
201921834,GMCS35,A+
201921835,GMCS35,A
201921836,GMCS35,RA
201921837,GMCS35,B
201921838,GMCS35,B+
201921839,GMCS35,RA
201921840,GMCS35,O
201921841,GMCS35,O
201921842,GMCS35,O
201921843,GMCS35,O
201921844,GMCS35,O+
201921845,GMCS35,RA
201921846,GMCS35,O
201921847,GMCS35,A
201921848,GMCS35,A+
201921849,GMCS35,A+
201921850,GMCS35,B
